평가년도,도서관구분,도서관코드,도서관명,행정구역,시군구,장서수,사서수,대출자수,대출권수,도서예산
2022,LIBTYPE000002,2060141088,군포시 중앙도서관,gyeonggi,군포시,419091,9.5,18955,517990,4735212
2022,LIBTYPE000002,2060811020,궁동어린이도서관,seoul,구로구,22782,3,2154,54497,391469
2022,LIBTYPE000008,2060811013,글마루한옥어린이도서관,seoul,구로구,27487,3,1199,26565,247226
2022,LIBTYPE000002,20601110046,글빛도서관,seoul,성북구,20609,6,9262,129948,291183
2022,LIBTYPE000002,2060111028,글빛정보도서관,seoul,관악구,68264,3,10288,81135,454639
2022,LIBTYPE000002,2060121019,금곡도서관,busan,북구,67919,4,5598,102170,735409
2022,LIBTYPE000002,2060141265,금사도서관,gyeonggi,여주시,14295,0.5,630,9465,154357
2022,LIBTYPE000002,2060844001,금산기적의도서관,chungnam,금산군,50096,1,3361,18034,246200
2022,LIBTYPE000002,2060144004,금산인삼고을도서관,chungnam,금산군,75834,2,4058,11023,520460
2022,LIBTYPE000002,2060121027,금샘도서관,busan,금정구,63457,9.5,17961,350549,1358800
2022,LIBTYPE000002,2050143014,금왕교육도서관,chungbuk,음성군,70269,4,7068,22774,309921
2022,LIBTYPE000002,2060146023,금일공공도서관,jeonnam,완도군,48405,0,7443,8343,138510
2022,LIBTYPE000002,2060121008,금정도서관,busan,금정구,248239,10,13563,274967,2256569
2022,LIBTYPE000002,2060111030,금천구립가산도서관,seoul,금천구,77191,8,17150,79850,549477
2022,LIBTYPE000002,2060111049,금천구립금나래도서관,seoul,금천구,63988,8,38883,138112,498598
2022,LIBTYPE000002,2060111003,금천구립독산도서관,seoul,금천구,121780,6,26876,81787,535644
2022,LIBTYPE000002,2060111084,금천구립시흥도서관,seoul,금천구,86290,6,41228,111439,500043
2022,LIBTYPE000002,2060141127,금촌3동솔빛도서관,gyeonggi,파주시,54654,3,2924,39036,313372
2022,LIBTYPE000002,2050124003,금호평생교육관,gwangju,남구,164278,11,17731,68168,2318249
2022,LIBTYPE000002,2060121009,기장도서관,busan,기장군,191108,7,5922,99913,1219044
2022,LIBTYPE000002,20601110051,김근태기념도서관,seoul,도봉구,14917,5,2158,10666,833806
2022,LIBTYPE000002,2050145018,김제교육문화회관,jeonbuk,김제시,93642,5,1130,9724,2044489
2022,LIBTYPE000002,2050145007,김제교육문화회관 금산분관,jeonbuk,김제시,55435,2,173,4178,335726
2022,LIBTYPE000002,2060145009,김제시립도서관,jeonbuk,김제시,171773,5,2679,58348,3361185
2022,LIBTYPE000002,2060145011,김제시립도서관금구분관,jeonbuk,김제시,37712,2,491,13484,566275
2022,LIBTYPE000002,2060145010,김제시립도서관만경분관,jeonbuk,김제시,29724,1,357,4801,470490
